ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000000003.16,TSPAN6,84.5820,95.8961,104.1487,68.9944,81.6277,64.4510,74.9412
ENSG00000000419.14,DPM1,33.1814,24.5077,37.7539,35.1374,28.5113,29.2071,33.1595
ENSG00000000457.14,SCYL3,9.8996,16.5027,9.1944,7.6451,15.1237,8.2701,8.7028
ENSG00000000460.17,C1orf112,5.1272,17.9395,8.3400,10.7710,14.1889,4.5712,6.0839
ENSG00000000971.17,CFH,7.6424,10.9607,14.5239,2.5233,3.3386,2.7218,3.7068
ENSG00000001036.14,FUCA2,109.0247,71.7989,137.7123,106.3915,63.0320,104.5803,93.5153
ENSG00000001084.13,GCLC,35.8256,29.9675,23.0266,29.7520,31.9500,30.9170,33.1192
ENSG00000001167.15,NFYA,66.6853,85.2227,56.1020,61.7636,103.4953,55.2737,60.8796
ENSG00000001460.18,STPG1,6.3848,7.2661,6.5907,4.7076,5.9426,4.9551,5.8422
ENSG00000001461.17,NIPAL3,81.7444,30.4601,88.2009,57.5456,35.6892,75.7570,59.5097
ENSG00000001497.18,LAS1L,37.7927,41.6261,56.5495,46.2850,38.6271,34.9997,38.1555
ENSG00000001561.7,ENPP4,17.2195,1.9705,25.7931,10.6580,7.6453,17.1683,9.1460
ENSG00000001617.12,SEMA3F,22.0565,84.0733,73.6364,36.6815,162.7213,22.5073,112.9758
ENSG00000001629.10,ANKIB1,107.1867,97.9897,74.8976,97.7295,121.2230,111.2801,98.7934
ENSG00000001630.18,CYP51A1,6.3848,8.8261,7.9739,10.8463,8.9807,6.0019,10.4354
ENSG00000001631.17,KRIT1,5.1917,8.2103,9.3571,7.6075,6.1429,5.7577,6.2048
ENSG00000002016.18,RAD52,7.2232,11.0018,9.9267,7.6075,7.1779,2.5473,4.9558
ENSG00000002330.14,BAD,37.1800,31.4043,32.4651,32.6142,39.7288,32.4523,33.2803
ENSG00000002549.13,LAP3,47.2408,34.8526,59.4787,66.3582,54.2516,43.9328,43.8366
ENSG00000002587.10,HS3ST1,0.4192,0.9031,2.1155,0.3013,1.9364,0.6979,0.5641
ENSG00000002746.15,HECW1,6.9330,0.2053,2.4410,8.6620,6.9776,6.9790,2.7398
ENSG00000002834.19,LASP1,555.8616,490.4821,605.2017,673.5994,453.6432,529.8804,595.8226
ENSG00000002919.15,SNX11,29.2151,11.6586,24.2064,29.1494,15.7246,18.1105,21.1125
ENSG00000002933.9,TMEM176A,0.4837,2.8736,0.0407,0.0377,33.1853,0.1745,0.3223
ENSG00000003056.8,M6PR,127.6631,79.4755,165.5395,124.6193,72.8807,95.4727,104.9176
ENSG00000003096.15,KLHL13,1.0641,2.4220,2.1969,1.4311,1.3688,1.3958,2.0145
