ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000000003.16,TSPAN6,6.4192,6.5984,6.7163,6.1292,6.3686,6.0323,6.2468
ENSG00000000419.14,DPM1,5.0951,4.6729,5.2763,5.1754,4.8832,4.9168,5.0942
ENSG00000000457.14,SCYL3,3.4462,4.1295,3.3497,3.1119,4.0111,3.2126,3.2784
ENSG00000000460.17,C1orf112,2.6152,4.2433,3.2234,3.5572,3.9249,2.4780,2.8246
ENSG00000000971.17,CFH,3.1114,3.5802,3.9564,1.8169,2.1172,1.8960,2.2347
ENSG00000001036.14,FUCA2,6.7817,6.1858,7.1160,6.7467,6.0007,6.7222,6.5625
ENSG00000001084.13,GCLC,5.2026,4.9527,4.5866,4.9426,5.0422,4.9963,5.0925
ENSG00000001167.15,NFYA,6.0808,6.4300,5.8355,5.9719,6.7073,5.8144,5.9514
ENSG00000001460.18,STPG1,2.8846,3.0472,2.9242,2.5129,2.7955,2.5741,2.7745
ENSG00000001461.17,NIPAL3,6.3706,4.9755,6.4790,5.8715,5.1973,6.2622,5.9191
ENSG00000001497.18,LAS1L,5.2777,5.4137,5.8467,5.5633,5.3084,5.1699,5.2911
ENSG00000001561.7,ENPP4,4.1874,1.5707,4.7438,3.5432,3.1119,4.1834,3.3428
ENSG00000001617.12,SEMA3F,4.5271,6.4106,6.2218,5.2358,7.3551,4.5550,6.8326
ENSG00000001629.10,ANKIB1,6.7574,6.6292,6.2460,6.6254,6.9334,6.8110,6.6409
ENSG00000001630.18,CYP51A1,2.8846,3.2966,3.1657,3.5664,3.3191,2.8078,3.5154
ENSG00000001631.17,KRIT1,2.6303,3.2032,3.3725,3.1056,2.8365,2.7565,2.8490
ENSG00000002016.18,RAD52,3.0397,3.5852,3.4498,3.1056,3.0317,1.8267,2.5743
ENSG00000002330.14,BAD,5.2547,5.0181,5.0646,5.0710,5.3480,5.0640,5.0993
ENSG00000002549.13,LAP3,5.5922,5.1640,5.9184,6.0738,5.7879,5.4897,5.4866
ENSG00000002587.10,HS3ST1,0.5051,0.9284,1.6395,0.3799,1.5540,0.7638,0.6453
ENSG00000002746.15,HECW1,2.9879,0.2693,1.7828,3.2723,2.9960,2.9962,1.9030
ENSG00000002834.19,LASP1,9.1212,8.9410,9.2437,9.3979,8.8286,9.0522,9.2212
ENSG00000002919.15,SNX11,4.9172,3.6620,4.6557,4.9141,4.0639,4.2563,4.4668
ENSG00000002933.9,TMEM176A,0.5692,1.9537,0.0575,0.0533,5.0953,0.2320,0.4031
ENSG00000003056.8,M6PR,7.0075,6.3305,7.3797,6.9729,6.2071,6.5920,6.7268
ENSG00000003096.15,KLHL13,1.0455,1.7749,1.6767,1.2816,1.2442,1.2605,1.5919
ENSG00000003137.9,CYP26B1,1.4717,2.3635,1.9132,1.6538,1.2843,1.2393,0.6820
ENSG00000003147.19,ICA1,2.6674,0.7982,2.7606,2.0837,1.7952,2.1998,1.7210
ENSG00000003249.15,DBNDD1,2.9702,2.5266,3.8505,4.5991,4.1774,2.4598,2.4090
ENSG00000003393.16,ALS2,6.4856,6.4619,6.4777,6.8057,6.7779,6.0393,7.1682
ENSG00000003402.21,CFLAR,6.7535,5.2752,7.0260,6.7548,5.5892,7.0674,6.2229
ENSG00000003436.16,TFPI,6.8994,6.4210,6.4737,5.5225,4.7677,6.3182,5.8289
ENSG00000003509.16,NDUFAF7,4.1900,3.9648,4.6393,4.0751,3.9376,3.5756,3.7056
ENSG00000003756.17,RBM5,6.7344,7.4004,7.1560,6.8805,7.0561,5.9751,6.2314
ENSG00000003989.18,SLC7A2,2.6820,5.7023,3.0142,2.8583,2.1283,2.7264,2.8650
ENSG00000004059.11,ARF5,6.2783,6.4327,6.1534,6.1561,6.5000,6.1095,6.4251
ENSG00000004139.14,SARM1,4.3740,4.8016,4.8736,4.0226,5.0640,4.8625,5.1591
ENSG00000004142.12,POLDIP2,6.6156,6.4368,6.6454,6.6548,6.5827,6.3395,6.5625
ENSG00000004399.13,PLXND1,9.6557,8.4969,9.7767,9.3466,7.9653,9.5184,9.8515
ENSG00000004455.18,AK2,6.1855,6.3000,6.3257,6.3656,6.2123,5.8541,5.8870
ENSG00000004478.8,FKBP4,6.3829,6.5549,6.9034,6.7807,6.3302,6.0239,6.2898
ENSG00000004487.18,KDM1A,7.2644,7.7635,7.2380,7.5997,7.8782,7.0648,7.3079
ENSG00000004534.15,RBM6,5.9929,6.6600,6.4151,6.3557,6.4930,5.4150,5.5868
ENSG00000004660.15,CAMKK1,3.6819,3.3956,3.6265,4.2279,3.8129,3.5882,3.5001
ENSG00000004700.16,RECQL,6.3717,6.4700,6.1892,6.5061,6.2969,6.3666,6.4190
ENSG00000004766.17,VPS50,4.9805,4.7431,4.7038,4.5582,4.8635,4.7054,4.4980
ENSG00000004776.13,HSPB6,3.5531,0.4962,1.4376,2.3835,0.9271,3.2180,1.4288
ENSG00000004777.19,ARHGAP33,3.0788,4.7629,3.8009,4.2366,5.7801,3.1230,3.3543
ENSG00000004779.10,NDUFAB1,5.6113,5.2239,5.2564,5.1618,5.3432,4.9852,5.1010
ENSG00000004864.14,SLC25A13,6.3214,5.5374,6.1359,6.1952,5.8410,6.1985,6.3452
ENSG00000004866.22,ST7,5.7985,5.7906,5.7166,6.2426,5.5751,5.2395,5.5475
ENSG00000004897.12,CDC27,6.6042,6.8786,6.6181,6.8379,6.7853,6.7121,6.7163
ENSG00000004948.16,CALCR,6.2277,2.5869,5.4899,4.3041,3.8534,6.3444,5.1913
ENSG00000004961.15,HCCS,4.9157,4.5619,4.9553,4.9408,4.4897,4.5529,4.6791
ENSG00000004975.12,DVL2,5.4726,6.4964,5.5450,5.7333,6.6514,4.8168,5.4012
ENSG00000005007.14,UPF1,6.4908,6.9183,6.9258,6.7812,7.2432,6.7054,7.0970
ENSG00000005020.13,SKAP2,3.7283,3.2845,3.5383,3.3275,3.3572,4.0889,3.8537
ENSG00000005022.6,SLC25A5,7.0154,7.2851,7.3339,7.3250,6.7518,6.4605,6.5339
ENSG00000005059.16,MCUB,3.2352,0.7284,3.6454,2.8880,2.1610,3.0700,4.2760
ENSG00000005075.16,POLR2J,4.3376,4.3946,4.3189,4.3260,4.8009,4.4461,4.6046
ENSG00000005100.13,DHX33,5.0269,5.0290,5.2868,5.2728,5.0022,5.0336,5.3307
ENSG00000005102.14,MEOX1,1.1748,1.7039,1.3013,2.9872,2.5707,0.6719,0.4884
ENSG00000005108.17,THSD7A,3.1486,6.7089,2.3645,2.3087,4.7118,2.5049,3.2784
ENSG00000005156.12,LIG3,5.1861,6.0132,5.0019,5.4951,6.0090,4.9772,5.2039
ENSG00000005175.10,RPAP3,5.2277,5.2127,4.8816,5.2601,5.4660,4.9530,5.2702
ENSG00000005187.12,ACSM3,5.4986,2.2310,4.2650,5.2854,1.2843,5.6636,5.2102
ENSG00000005189.20,REXO5,1.9879,2.7975,1.7998,2.2754,1.4164,1.0334,1.0896
ENSG00000005194.15,CIAPIN1,6.0096,5.6276,5.9154,6.0187,5.6547,5.4886,5.5892
ENSG00000005206.17,SPPL2B,5.3491,5.4206,5.7099,5.3020,5.9580,5.1187,5.3132
ENSG00000005238.20,ATOSB,7.0982,5.0877,6.7011,6.8933,6.4025,7.2261,7.3276
ENSG00000005243.10,COPZ2,4.8734,4.2620,3.3950,3.7633,4.4897,5.0474,4.3745
ENSG00000005249.14,PRKAR2B,3.6856,3.7171,3.3381,3.1552,4.1880,3.8722,4.1506
ENSG00000005302.19,MSL3,4.7732,4.9717,4.9591,5.1014,5.1232,4.6322,5.0263
ENSG00000005339.15,CREBBP,6.4986,7.7145,5.8262,6.4717,7.6432,6.6583,6.9018
ENSG00000005379.17,TSPOAP1,3.4674,4.0351,2.7167,2.4743,4.6933,2.4689,2.2470
ENSG00000005436.14,GCFC2,3.5845,3.5092,3.0988,3.3806,4.2168,3.1629,3.4584
ENSG00000005448.17,WDR54,2.6527,3.3786,3.3554,3.0865,3.1119,2.4414,2.8409
ENSG00000005469.12,CROT,3.5531,3.4882,3.9142,3.8675,3.7676,3.8126,3.3824
ENSG00000005471.19,ABCB4,2.0341,2.0851,2.8033,2.1827,3.6030,1.7238,2.3303
ENSG00000005483.23,KMT2E,6.2777,6.7297,5.6632,6.1937,7.0120,6.1930,6.4996
ENSG00000005486.17,RHBDD2,6.1545,5.7227,6.1293,5.9719,6.2709,6.0316,6.3812
ENSG00000005513.10,SOX8,0.5692,2.6258,1.6767,1.3038,3.4832,1.0818,1.6671
ENSG00000005700.15,IBTK,6.6981,6.3393,6.2834,6.8135,6.4457,6.6205,6.7801
ENSG00000005801.18,ZNF195,4.7106,4.6063,5.4568,5.0300,5.0067,4.7603,4.8298
ENSG00000005810.20,MYCBP2,5.9885,6.7513,5.5475,6.0279,6.3709,6.5127,6.4305
ENSG00000005812.11,FBXL3,5.7825,5.4151,5.5080,5.6546,5.7128,5.7334,5.9344
ENSG00000005882.12,PDK2,5.5630,5.9341,4.7612,4.9878,6.0157,4.9915,5.3593
