ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000000003.16,TSPAN6,2623,2336,2560,1832,2445,1847,1860
ENSG00000000419.14,DPM1,1029,597,928,933,854,837,823
ENSG00000000457.14,SCYL3,307,402,226,203,453,237,216
ENSG00000000460.17,C1orf112,159,437,205,286,425,131,151
ENSG00000000971.17,CFH,237,267,357,67,100,78,92
ENSG00000001036.14,FUCA2,3381,1749,3385,2825,1888,2997,2321
ENSG00000001084.13,GCLC,1111,730,566,790,957,886,822
ENSG00000001167.15,NFYA,2068,2076,1379,1640,3100,1584,1511
ENSG00000001460.18,STPG1,198,177,162,125,178,142,145
ENSG00000001461.17,NIPAL3,2535,742,2168,1528,1069,2171,1477
ENSG00000001497.18,LAS1L,1172,1014,1390,1229,1157,1003,947
ENSG00000001561.7,ENPP4,534,48,634,283,229,492,227
ENSG00000001617.12,SEMA3F,684,2048,1810,974,4874,645,2804
ENSG00000001629.10,ANKIB1,3324,2387,1841,2595,3631,3189,2452
ENSG00000001630.18,CYP51A1,198,215,196,288,269,172,259
ENSG00000001631.17,KRIT1,161,200,230,202,184,165,154
ENSG00000002016.18,RAD52,224,268,244,202,215,73,123
ENSG00000002330.14,BAD,1153,765,798,866,1190,930,826
ENSG00000002549.13,LAP3,1465,849,1462,1762,1625,1259,1088
ENSG00000002587.10,HS3ST1,13,22,52,8,58,20,14
ENSG00000002746.15,HECW1,215,5,60,230,209,200,68
ENSG00000002834.19,LASP1,17238,11948,14876,17886,13588,15185,14788
ENSG00000002919.15,SNX11,906,284,595,774,471,519,524
ENSG00000002933.9,TMEM176A,15,70,1,1,994,5,8
ENSG00000003056.8,M6PR,3959,1936,4069,3309,2183,2736,2604
ENSG00000003096.15,KLHL13,33,59,54,38,41,40,50
ENSG00000003137.9,CYP26B1,55,101,68,57,43,39,15
ENSG00000003147.19,ICA1,166,18,142,86,74,103,57
ENSG00000003249.15,DBNDD1,212,116,330,617,512,129,107
ENSG00000003393.16,ALS2,2748,2123,2166,2944,3257,1856,3545
ENSG00000003402.21,CFLAR,3315,919,3179,2841,1412,3815,1829
ENSG00000003436.16,TFPI,3671,2063,2160,1194,786,2258,1386
ENSG00000003509.16,NDUFAF7,535,356,588,421,429,313,299
ENSG00000003756.17,RBM5,3271,4091,3481,3102,3956,1774,1840
ENSG00000003989.18,SLC7A2,168,1244,174,166,101,161,156
ENSG00000004059.11,ARF5,2376,2080,1725,1867,2681,1950,2108
ENSG00000004139.14,SARM1,612,655,696,405,972,805,862
ENSG00000004142.12,POLDIP2,3010,2086,2436,2649,2841,2292,2321
ENSG00000004399.13,PLXND1,24982,8776,21537,17260,7456,20988,22904
ENSG00000004455.18,AK2,2226,1895,1947,2163,2191,1629,1444
ENSG00000004478.8,FKBP4,2557,2266,2918,2893,2380,1836,1917
ENSG00000004487.18,KDM1A,4737,5269,3686,5124,7017,3808,3908
ENSG00000004534.15,RBM6,1944,2439,2073,2148,2668,1194,1168
ENSG00000004660.15,CAMKK1,367,232,279,471,391,316,256
ENSG00000004700.16,RECQL,2537,2135,1769,2387,2325,2336,2099
ENSG00000004766.17,VPS50,948,628,616,599,842,719,536
ENSG00000004776.13,HSPB6,333,10,42,112,27,238,42
ENSG00000004777.19,ARHGAP33,231,637,318,474,1616,221,229
ENSG00000004779.10,NDUFAB1,1485,886,915,924,1186,879,827
ENSG00000004864.14,SLC25A13,2449,1107,1704,1919,1687,2076,1993
ENSG00000004866.22,ST7,1695,1324,1268,1984,1398,1054,1136
ENSG00000004897.12,CDC27,2986,2842,2390,3011,3274,2976,2585
ENSG00000004948.16,CALCR,2293,122,1080,498,403,2300,882
ENSG00000004961.15,HCCS,905,551,738,789,643,644,611
ENSG00000004975.12,DVL2,1346,2175,1123,1386,2981,779,1024
ENSG00000005007.14,UPF1,2758,2922,2964,2894,4508,2962,3373
ENSG00000005020.13,SKAP2,380,213,261,240,277,459,334
ENSG00000005022.6,SLC25A5,3981,3775,3941,4231,3198,2495,2275
ENSG00000005059.16,MCUB,261,16,283,170,104,212,456
ENSG00000005075.16,POLR2J,596,488,466,506,805,596,579
ENSG00000005100.13,DHX33,980,771,935,1000,930,910,974
ENSG00000005102.14,MEOX1,39,55,36,184,148,17,10
ENSG00000005108.17,THSD7A,244,2524,102,105,755,134,216
ENSG00000005156.12,LIG3,1098,1549,763,1171,1899,874,890
ENSG00000005175.10,RPAP3,1131,879,700,991,1294,859,933
ENSG00000005187.12,ACSM3,1371,90,448,1009,43,1424,894
ENSG00000005189.20,REXO5,92,145,61,102,50,30,28
ENSG00000005194.15,CIAPIN1,1967,1180,1459,1695,1479,1258,1170
ENSG00000005206.17,SPPL2B,1233,1019,1262,1021,1832,967,962
ENSG00000005238.20,ATOSB,4218,804,2533,3130,2504,4262,3962
ENSG00000005243.10,COPZ2,878,443,234,334,643,919,490
ENSG00000005249.14,PRKAR2B,368,296,224,210,516,391,416
ENSG00000005302.19,MSL3,817,740,740,885,1014,682,784
ENSG00000005339.15,CREBBP,2773,5092,1370,2330,5958,2866,2943
ENSG00000005379.17,TSPOAP1,312,375,137,121,745,130,93
ENSG00000005436.14,GCFC2,341,253,186,250,527,228,248
ENSG00000005448.17,WDR54,164,229,227,199,229,127,153
ENSG00000005469.12,CROT,333,249,346,361,378,374,234
ENSG00000005471.19,ABCB4,96,79,147,94,334,66,100
ENSG00000005483.23,KMT2E,2375,2561,1221,1917,3836,2068,2221
ENSG00000005486.17,RHBDD2,2178,1262,1696,1640,2283,1846,2044
ENSG00000005513.10,SOX8,15,126,54,39,305,32,54
ENSG00000005700.15,IBTK,3189,1948,1890,2960,2581,2791,2703
ENSG00000005801.18,ZNF195,781,569,1055,841,933,748,681
ENSG00000005810.20,MYCBP2,1938,2600,1125,1706,2449,2588,2116
ENSG00000005812.11,FBXL3,1676,1015,1094,1311,1541,1496,1493
ENSG00000005882.12,PDK2,1435,1465,642,816,1908,883,994
ENSG00000005884.18,ITGA3,13478,1031,27128,11552,1924,22460,14780
ENSG00000005889.16,ZFX,742,1346,1089,833,1578,1258,1303
ENSG00000005893.17,LAMP2,9574,6369,8179,6375,7381,7323,6531
ENSG00000005961.19,ITGA2B,14,65,16,12,42,7,9
ENSG00000006007.12,GDE1,4729,2118,3464,3022,3776,3864,2864
ENSG00000006015.18,REX1BD,612,268,575,499,715,479,458
ENSG00000006016.12,CRLF1,1068,10,425,731,367,1500,2292
ENSG00000006025.13,OSBPL7,672,409,688,568,616,410,486
ENSG00000006042.12,TMEM98,3527,2930,4786,2494,4198,2442,2130
ENSG00000006047.13,YBX2,6,26,4,3,53,1,3
ENSG00000006062.18,MAP3K14,287,430,348,436,270,253,317
ENSG00000006118.15,TMEM132A,8267,6573,11104,6095,12672,5918,5944
ENSG00000006125.18,AP2B1,12008,8786,11153,12422,9373,12132,9518
ENSG00000006194.11,ZNF263,472,376,316,413,539,387,338
ENSG00000006210.7,CX3CL1,1700,568,2094,1544,1361,1458,627
ENSG00000006282.22,SPATA20,1272,1152,1100,821,1022,611,481
ENSG00000006283.18,CACNA1G,1,417,2,9,1808,5,1
