"# FN1 splice variants: EDA/EDB extra domains (47 exons=both, 44=neither)"
transcript_id,annotation,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENST00000323926,FN1-201_EDA_EDB_plus,71364,45299,74965,89599,59222,127800,53970
ENST00000336916,FN1-202_46exon,71364,45299,74965,89599,59222,127800,53970
ENST00000354785,FN1-203_canonical_MANE,70929,45014,74558,89126,58849,126862,53549
ENST00000356005,FN1-204_44exon,70928,45012,74557,89126,58847,126861,53547
ENST00000357867,FN1-205_EDA_EDB_minus,71364,45299,74965,89599,59222,127800,53970
ENST00000359671,FN1-206_45exon,71363,45299,74965,89598,59219,127797,53970
ENST00000421182,FN1-207_45exon,71367,45301,74966,89603,59225,127805,53970
ENST00000426059,FN1-208_short,21975,19954,2923,25249,24562,57844,25449
ENST00000432072,FN1-209_45exon,70929,45014,74558,89126,58849,126862,53549
ENST00000443816,FN1-211_45exon,70936,45022,74566,89134,58852,126867,53552
ENST00000446046,FN1-212_46exon,70936,45022,74566,89134,58852,126867,53552
