Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[developmental stage]	Characteristics[disease]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[disease]
WZ12_CADASIL_Control	ERS28123311	SAMEA120631679	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ12_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ12_CADASIL_Control	sequencing assay	ERX15361191	WZ12_S12_R1_001.fastq.gz	WZ12_S12_R1_001.fastq.gz	ERR15965983	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/083/ERR15965983/ERR15965983_1.fastq.gz	normal
WZ12_CADASIL_Control	ERS28123311	SAMEA120631679	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ12_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ12_CADASIL_Control	sequencing assay	ERX15361191	WZ12_S12_R2_001.fastq.gz	WZ12_S12_R2_001.fastq.gz	ERR15965983	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/083/ERR15965983/ERR15965983_2.fastq.gz	normal
WZ16_CADASIL_C224Y	ERS28123312	SAMEA120631680	Homo sapiens	NOTCH3 p.C224Y mutation	skin of body	iPSC differentiated vascular smooth muscle cell	adult	CADASIL	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ16_CADASIL_C224Y	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ16_CADASIL_C224Y	sequencing assay	ERX15361192	WZ16_S16_R1_001.fastq.gz	WZ16_S16_R1_001.fastq.gz	ERR15965984	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/084/ERR15965984/ERR15965984_1.fastq.gz	CADASIL
WZ16_CADASIL_C224Y	ERS28123312	SAMEA120631680	Homo sapiens	NOTCH3 p.C224Y mutation	skin of body	iPSC differentiated vascular smooth muscle cell	adult	CADASIL	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ16_CADASIL_C224Y	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ16_CADASIL_C224Y	sequencing assay	ERX15361192	WZ16_S16_R2_001.fastq.gz	WZ16_S16_R2_001.fastq.gz	ERR15965984	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/084/ERR15965984/ERR15965984_2.fastq.gz	CADASIL
WZ4_CADASIL_Control	ERS28123313	SAMEA120631681	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ4_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ4_CADASIL_Control	sequencing assay	ERX15361193	WZ4_S4_R1_001.fastq.gz	WZ4_S4_R1_001.fastq.gz	ERR15965985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/085/ERR15965985/ERR15965985_1.fastq.gz	normal
WZ4_CADASIL_Control	ERS28123313	SAMEA120631681	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ4_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ4_CADASIL_Control	sequencing assay	ERX15361193	WZ4_S4_R2_001.fastq.gz	WZ4_S4_R2_001.fastq.gz	ERR15965985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/085/ERR15965985/ERR15965985_2.fastq.gz	normal
WZ8_CADASIL_Control	ERS28123314	SAMEA120631682	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ8_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ8_CADASIL_Control	sequencing assay	ERX15361194	WZ8_S8_R1_001.fastq.gz	WZ8_S8_R1_001.fastq.gz	ERR15965986	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/086/ERR15965986/ERR15965986_1.fastq.gz	normal
WZ8_CADASIL_Control	ERS28123314	SAMEA120631682	Homo sapiens	wild type genotype	skin of body	iPSC differentiated vascular smooth muscle cell	adult	normal	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	WZ8_CADASIL_Control	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	WZ8_CADASIL_Control	sequencing assay	ERX15361194	WZ8_S8_R2_001.fastq.gz	WZ8_S8_R2_001.fastq.gz	ERR15965986	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/086/ERR15965986/ERR15965986_2.fastq.gz	normal
XZ5_CADASIL_R153C	ERS28123315	SAMEA120631683	Homo sapiens	NOTCH3 p.R153C mutaton	skin of body	iPSC differentiated vascular smooth muscle cell	adult	CADASIL	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	XZ5_CADASIL_R153C	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	XZ5_CADASIL_R153C	sequencing assay	ERX15361195	XZ5_S40_R1_001.fastq.gz	XZ5_S40_R1_001.fastq.gz	ERR15965987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/087/ERR15965987/ERR15965987_1.fastq.gz	CADASIL
XZ5_CADASIL_R153C	ERS28123315	SAMEA120631683	Homo sapiens	NOTCH3 p.R153C mutaton	skin of body	iPSC differentiated vascular smooth muscle cell	adult	CADASIL	cell	P-MTAB-160732	P-MTAB-160733	P-MTAB-160734	XZ5_CADASIL_R153C	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	P-MTAB-160735	Genomic Technologies Core Facility, University of Manchester	XZ5_CADASIL_R153C	sequencing assay	ERX15361195	XZ5_S40_R2_001.fastq.gz	XZ5_S40_R2_001.fastq.gz	ERR15965987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/087/ERR15965987/ERR15965987_2.fastq.gz	CADASIL
