sample_1,sample_2,shared,union,jaccard
WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,5,40,.1250
WZ12_CADASIL_Control,WZ4_CADASIL_Control,8,44,.1818
WZ12_CADASIL_Control,WZ8_CADASIL_Control,1,41,.0243
WZ12_CADASIL_Control,XZ5_CADASIL_R153C,5,49,.1020
WZ12_CADASIL_Control,XZ6_CADASIL_R153C_isoCtrl,3,40,.0750
WZ12_CADASIL_Control,XZ7_CADASIL_C224Y_isoCtrl,9,56,.1607
WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,3,34,.0882
WZ16_CADASIL_C224Y,WZ8_CADASIL_Control,3,24,.1250
WZ16_CADASIL_C224Y,XZ5_CADASIL_R153C,13,26,.5000
WZ16_CADASIL_C224Y,XZ6_CADASIL_R153C_isoCtrl,7,21,.3333
WZ16_CADASIL_C224Y,XZ7_CADASIL_C224Y_isoCtrl,3,47,.0638
WZ4_CADASIL_Control,WZ8_CADASIL_Control,2,32,.0625
WZ4_CADASIL_Control,XZ5_CADASIL_R153C,4,42,.0952
WZ4_CADASIL_Control,XZ6_CADASIL_R153C_isoCtrl,3,32,.0937
WZ4_CADASIL_Control,XZ7_CADASIL_C224Y_isoCtrl,18,39,.4615
WZ8_CADASIL_Control,XZ5_CADASIL_R153C,3,33,.0909
WZ8_CADASIL_Control,XZ6_CADASIL_R153C_isoCtrl,3,22,.1363
WZ8_CADASIL_Control,XZ7_CADASIL_C224Y_isoCtrl,1,46,.0217
XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,12,25,.4800
XZ5_CADASIL_R153C,XZ7_CADASIL_C224Y_isoCtrl,9,50,.1800
XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl,9,39,.2307
