gene_id,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000177606.9|JUN,2741,1336,2345,2074,1545,3569,2229
ENSG00000163017.14|TAGLN,1994,2934,882,5605,6492,519,580
ENSG00000115414.21|FN1,781447,644132,359902,1007867,762954,1697979,765053
ENSG00000128052.10|KDR,339,515,135,271,1859,351,342
ENSG00000163631.18|ALB,1,0,1,4,4,3,2
ENSG00000112715.26|VEGFA,513,388,835,721,621,526,394
ENSG00000107796.13|ACTA2,36423,3706,8886,33272,25329,13663,27143
ENSG00000130598.17|CNN1,0,5,3,20,2,1,0
ENSG00000173511.10|VEGFB,1529,972,776,824,1312,683,702
ENSG00000102755.13|FLT1,13,152,57,208,72,65,217
ENSG00000170345.10|FOS,2072,338,132,158,258,85,232
ENSG00000196136.18|SERPINA3,0,2,0,0,3,0,0
ENSG00000069869.17|NEDD4,1793,1123,2044,1457,2051,1778,1567
ENSG00000133392.18|MYH11,869,23,36,248,379,94,149
ENSG00000141068.16|MYOCD,3526,1839,2305,2824,1414,2768,2213
ENSG00000074181.9|NOTCH3,11581,10969,4865,13413,29546,4872,18229
