sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ16_CADASIL_C224Y,ENST00000421182.5,-0.405195848568751,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000323926.10,10.8931731497071,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000336916.8,-5.83146060327085,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000492816.6,4.29136739153682,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000446046.5,9.56704929969582,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000443816.5,7.06543938114903,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000432072.6,7.46559894853785,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000354785.11,10.4139621179117,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000498719.1,1.7459682247649,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000456923.5,9.95442603849613,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000494446.1,3.06032309994746,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000469569.1,1.28748046945266,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000473614.1,2.48595201049402,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000480024.1,3.67435095064875,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000461974.1,6.65411716763234,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000485567.1,-1.30789864721384,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000460217.1,-0.0501008897461896,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000438981.1,2.70381477334995,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000474036.1,5.1929865207698,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000480737.1,-5.83146060327085,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000471193.1,-5.83146060327085,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000426059.1,2.22923532841671,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000496542.1,1.38770791719131,FN1,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000261937.11,-1.30789864721384,FLT4,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000502603.5,-0.473908598652765,FLT4,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000393347.7,-2.66153560182854,FLT4,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000510000.1,-5.83146060327085,FLT4,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000514810.1,-5.83146060327085,FLT4,retained_intron,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000282397.9,-0.405195848568751,FLT1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000617835.5,-5.83146060327085,FLT1,protein_coding_CDS_not_defined,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000541932.5,-1.58353308982726,FLT1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000615840.5,-0.546058384408601,FLT1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
WZ16_CADASIL_C224Y,ENST00000539099.2,-1.07657310110738,FLT1,nonsense_mediated_decay,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
XZ5_CADASIL_R153C,ENST00000421182.5,-1.97392317776043,FN1,protein_coding,CAD,C224Y,vsmc_C224Y_cluster_CAD_vs_ISO
