sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ12_CADASIL_Control,ENST00000421182.5,-0.604423910049275,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000323926.10,10.7322513033276,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000336916.8,8.2121132887443,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000492816.6,4.26508026966914,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000446046.5,10.0055064163186,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000443816.5,5.6288613321285,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000432072.6,7.09391734220782,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000354785.11,9.27405479532592,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000498719.1,2.39976388691416,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000456923.5,10.5676692123207,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000494446.1,7.9131997051245,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000469569.1,1.40393956288535,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000473614.1,2.67321490869329,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000480024.1,3.93941722586081,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000461974.1,6.96207268619176,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000485567.1,-6.03068866475137,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000460217.1,1.54674016328438,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000474036.1,4.9256874924983,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000490833.5,-2.57125704611408,FN1,protein_coding_CDS_not_defined,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000480737.1,-6.03068866475137,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000471193.1,-1.2758011625879,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000426059.1,3.11651626019086,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000496542.1,1.24543574052286,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000261937.11,-2.57125704611408,FLT4,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000393347.7,-3.22333374269377,FLT4,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000510000.1,-6.03068866475137,FLT4,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000514810.1,-6.03068866475137,FLT4,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000282397.9,-4.44572616403022,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000541932.5,-3.70876056986401,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000615840.5,-6.03068866475137,FLT1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ12_CADASIL_Control,ENST00000539099.2,-6.03068866475137,FLT1,nonsense_mediated_decay,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000421182.5,-0.516544075198197,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000323926.10,10.7818249230777,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000336916.8,-5.9428088299003,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000492816.6,4.18001916490737,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
