gene,direction_plasma,expected_sign,beta_prior_iec,p_prior_iec,lfc_VSMC_pool,p_VSMC_pool,fdr_VSMC_pool,lfc_VSMC_C224Y,p_VSMC_C224Y,fdr_VSMC_C224Y,dir_match_VSMC_pool,nom_VSMC_pool,sig_VSMC_pool,dir_match_VSMC_C224Y,nom_VSMC_C224Y,sig_VSMC_C224Y
FLT4,Down,-1,-1.43601727153274,0.00132295618516052,-0.0899055012578185,0.9206946974386,0.954147452696626,-0.0663238124555695,0.93199092083057,0.972529294567054,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ARL15,Up,1,-0.975905824685783,0.0585651538534027,-0.0875481468917175,0.799940474301941,0.879775206302422,-0.430775148333388,0.373022170248061,0.661773322104918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C4A,Up,1,-0.606086989278753,0.074859816413799,1.39536628494485,0.0661280930276137,0.19311596172022,1.19824363206128,0.266325782115755,0.581898374615075,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HMBS,Down,-1,0.547201334151023,0.0819114101825823,-0.499816397585113,0.160173451369471,0.333185758659265,-0.189546179083256,0.615165472617326,0.813843845706419,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
RAD23A,Down,-1,-0.354332806756247,0.0829313219440246,0.0192500839615685,0.89862630481727,0.941188079646347,-0.110100580982484,0.678305217086037,0.848800228814227,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HPCAL1,Down,-1,-0.464150077795758,0.0848080274383887,-0.111864652385823,0.671708039112738,0.797560521863539,-0.259341587685532,0.434550141140946,0.70390776138784,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ANP32B,Up,1,0.220193688646466,0.208248208946516,0.437884853839414,0.0808001928389106,0.218100181077738,0.653112155458715,0.0868492307537832,0.397413757128115,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ZHX3,Up,1,-0.194993267954038,0.359878988452728,-0.729707602343796,0.00942084126330971,0.0614859895977009,-1.21747856644961,0.00903705778326554,0.274900498013693,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
FN1,Up,1,0.877549630918263,0.365435825064388,-0.370443728650989,0.479002352531465,0.651561188390388,-1.47271238046884,0.0432017665825128,0.334409763349683,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
C4B,Up,1,0.622150451183476,0.36860190672177,,,,,,,,,,,,
RRM1,Down,-1,0.386254945011668,0.396048523162524,0.807056034062163,0.0602968293852833,0.183091640167929,1.23921445986146,0.0448978330241571,0.336181040457342,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IRF1,Up,1,-0.469712328364674,0.402078941554148,-0.893495161250561,0.0215545360508498,0.0986882028306985,-0.707975997259241,0.309059316860985,0.61728730035688,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ST6GALNAC3,Down,-1,-0.178844002107393,0.495081128035549,1.73207783084203,6.75284213903578e-05,0.00588800446158032,1.76813420867451,0.0183936148253147,0.29784209284643,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
MFAP2,Up,1,0.271205085316343,0.543519569580298,0.998957479045279,0.00364667195773934,0.0363387661753674,0.691125796619113,0.0499811516337507,0.340525832440946,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
GDI1,Up,1,-0.0805602214647279,0.563292055251983,-0.493426107314666,0.00497532332025472,0.0432425549645335,-0.374403359606023,0.219736566879802,0.543432166894969,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
COL6A1,Up,1,-0.138413558846738,0.758664148157233,1.73509446508126,0.00409122243028332,0.0389502454384211,1.22084684333472,0.0887477744886745,0.399052324415751,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BLVRB,Down,-1,-0.0743996350870861,0.804416119412135,0.0532979387441903,0.877210947877905,0.928443467167798,0.374503887561855,0.569553251735601,0.786103793251528,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GPX1,Up,1,-0.0402617329767555,0.883450013201168,-1.3904122687374,0.00076918544762504,0.0170173684538288,-1.72059838251062,0.0137316385300722,0.288943412310065,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
PDLIM1,Up,1,-0.0324994470934194,0.903564441542886,-1.31644386459767,0.00341904255779391,0.0351632519653093,-1.11624300442684,0.195231648167824,0.522929093307429,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
PSMB6,Down,-1,-0.00440549253348104,0.978141841636177,-0.380555005667235,0.100264564216038,0.248660121833188,-0.0355358305394289,0.891130669289422,0.954653396971201,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DUSP13,Up,1,,,,,,,,,,,,,,
GALNT9,Up,1,,,0.0850814883921683,0.951674903380635,0.972414529153321,-2.17811971840243,0.0571929202970443,0.352085403090599,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MGP,Up,1,,,3.3363638551769,0.00346673860390654,0.0355985348376354,2.45387950155831,0.0271679343282626,0.314633011084177,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PGAM2,Up,1,,,0.345749153515238,0.692767885877464,0.812424821333411,-0.000707522878261602,0.999507012554913,0.999557332597835,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PKLR,Down,-1,,,,,,,,,,,,,,
