gene,direction,prior_iec,VSMC_pool,VSMC_C224Y,dir_hits,nom_hits
MFAP2,Up,0.271,+1.00 ***,+0.69 *,2,2
MGP,Up,,+3.34 ***,+2.45 *,2,2
COL6A1,Up,-0.138,+1.74 ***,+1.22 ,2,1
FLT4,Down,-1.44,-0.09 ,-0.07 ,2,0
C4A,Up,-0.606,+1.40 ,+1.20 ,2,0
HMBS,Down,0.547,-0.50 ,-0.19 ,2,0
HPCAL1,Down,-0.464,-0.11 ,-0.26 ,2,0
ANP32B,Up,0.22,+0.44 ,+0.65 ,2,0
PSMB6,Down,-0.00441,-0.38 ,-0.04 ,2,0
RAD23A,Down,-0.354,+0.02 ,-0.11 ,1,0
GALNT9,Up,,+0.09 ,-2.18 ,1,0
PGAM2,Up,,+0.35 ,-0.00 ,1,0
ARL15,Up,-0.976,-0.09 ,-0.43 ,0,0
ZHX3,Up,-0.195,-0.73 *,-1.22 *,0,0
FN1,Up,0.878,-0.37 ,-1.47 *,0,0
C4B,Up,0.622,NA NA,NA NA,0,0
RRM1,Down,0.386,+0.81 ,+1.24 *,0,0
IRF1,Up,-0.47,-0.89 *,-0.71 ,0,0
ST6GALNAC3,Down,-0.179,+1.73 ***,+1.77 *,0,0
GDI1,Up,-0.0806,-0.49 ***,-0.37 ,0,0
BLVRB,Down,-0.0744,+0.05 ,+0.37 ,0,0
GPX1,Up,-0.0403,-1.39 ***,-1.72 *,0,0
PDLIM1,Up,-0.0325,-1.32 ***,-1.12 ,0,0
DUSP13,Up,,NA NA,NA NA,0,0
PKLR,Down,,NA NA,NA NA,0,0
