transcript_id,ensembl_name,isoform_label,aa_length,n_exons,biotype,notes,contrast,AveExpr,logFC,t,P.Value,adj.P.Val
ENST00000443816.5,FN1-211,FN1 45-exon isoform,2265,45,protein_coding,45-exon protein-coding FN1,vsmc_C224Y_cluster_CAD_vs_ISO,8.07523409059663,-3.18106340761508,-18.0257076067537,9.94878189416007e-05,0.733481482836442
ENST00000354785.11,FN1-203,FN1 canonical (MANE Select),2477,46,protein_coding,MANE Select reference; longest canonical V region; defines FN1 contig for downstream cross-referencing,vsmc_C224Y_cluster_CAD_vs_ISO,10.8451553783781,-1.61949443822696,-11.5080995952922,0.000507321322627306,0.733481482836442
ENST00000336916.8,FN1-202,FN1 46-exon isoform,2355,46,protein_coding,Single extra domain included (EDA or EDB); intermediate cellular/plasma,vsmc_C224Y_cluster_CAD_vs_ISO,-0.603739222181909,-16.2687492751666,-8.08114591247531,0.00179029047584201,0.733481482836442
ENST00000323926.10,FN1-201,FN1 cellular (EDA+ EDB+),2446,47,protein_coding,Includes both extra type-III domains EDA (EIIIA) and EDB (EIIIB); marker of activated / remodeling endothelium,vsmc_C224Y_cluster_CAD_vs_ISO,11.2824576827184,-0.962760435758504,-7.88958645605557,0.00194797788547123,0.733481482836442
ENST00000456923.5,,(unannotated),NA,NA,protein_coding,,vsmc_C224Y_cluster_CAD_vs_ISO,10.1249884159119,-1.06220872864916,-5.36824139977296,0.00731508073063115,0.733481482836442
ENST00000432072.6,FN1-209,FN1 45-exon isoform,2267,45,protein_coding,45-exon protein-coding FN1,vsmc_C224Y_cluster_CAD_vs_ISO,7.70225245113568,-1.34564639151024,-5.25853992494263,0.00783611130340996,0.733481482836442
ENST00000461974.1,FN1-215,retained intron,NA,3,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,7.46983208862401,-1.35498483806227,-3.87937259526505,0.0208202348022252,0.733481482836442
ENST00000460217.1,FN1-214,retained intron,NA,4,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,2.15538909440998,-3.1217814464969,-3.53608099984221,0.0275798362877604,0.733481482836442
ENST00000471193.1,FN1-217,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,-3.59935610398247,-7.28189862976488,-3.5173902659779,0.0280192581769139,0.733481482836442
ENST00000421182.5,FN1-207,FN1 45-exon isoform,2240,45,protein_coding,45-exon protein-coding FN1; V-region variant,vsmc_C224Y_cluster_CAD_vs_ISO,-0.137226118261491,-3.27899421607259,-3.45179101657626,0.0296301272044277,0.733481482836442
ENST00000426059.1,FN1-208,FN1 truncated (N-terminal),657,13,protein_coding,Short N-terminal fragment; ends early; regulatory or secreted truncation,vsmc_C224Y_cluster_CAD_vs_ISO,2.90768603317238,-1.47338102995663,-3.41100960343483,0.0306881387822359,0.733481482836442
ENST00000446046.5,FN1-212,FN1 46-exon isoform,2330,46,protein_coding,Single extra domain included,vsmc_C224Y_cluster_CAD_vs_ISO,9.50457532031064,-1.27510057204203,-3.10499077928776,0.0402663924190249,0.733481482836442
ENST00000492816.6,FN1-224,retained intron,NA,19,retained_intron,Long retained-intron variant,vsmc_C224Y_cluster_CAD_vs_ISO,4.64698158132376,-0.862713063917268,-2.69733253546826,0.0592183475530206,0.733481482836442
ENST00000485567.1,FN1-222,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,1.46606702917834,-3.03174379788094,-2.45628560084456,0.0753741941313172,0.733481482836442
ENST00000480737.1,,(unannotated),NA,NA,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,1.67281914005654,-6.50736154515925,-2.28941635335864,0.0895803971627672,0.733481482836442
