ensembl_id,gene_name,gene_type,chromosome,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000000003.16,TSPAN6,protein_coding,chrX,2623,2336,2560,1832,2445,1847,1860
ENSG00000000005.6,TNMD,protein_coding,chrX,0,6,0,0,47,0,1
ENSG00000000419.14,DPM1,protein_coding,chr20,1029,597,928,933,854,837,823
ENSG00000000457.14,SCYL3,protein_coding,chr1,307,402,226,203,453,237,216
ENSG00000000460.17,C1orf112,protein_coding,chr1,159,437,205,286,425,131,151
ENSG00000000938.13,FGR,protein_coding,chr1,0,2,0,0,5,1,3
ENSG00000000971.17,CFH,protein_coding,chr1,237,267,357,67,100,78,92
ENSG00000001036.14,FUCA2,protein_coding,chr6,3381,1749,3385,2825,1888,2997,2321
ENSG00000001084.13,GCLC,protein_coding,chr6,1111,730,566,790,957,886,822
ENSG00000001167.15,NFYA,protein_coding,chr6,2068,2076,1379,1640,3100,1584,1511
ENSG00000001460.18,STPG1,protein_coding,chr1,198,177,162,125,178,142,145
ENSG00000001461.17,NIPAL3,protein_coding,chr1,2535,742,2168,1528,1069,2171,1477
ENSG00000001497.18,LAS1L,protein_coding,chrX,1172,1014,1390,1229,1157,1003,947
ENSG00000001561.7,ENPP4,protein_coding,chr6,534,48,634,283,229,492,227
ENSG00000001617.12,SEMA3F,protein_coding,chr3,684,2048,1810,974,4874,645,2804
ENSG00000001626.18,CFTR,protein_coding,chr7,2,0,12,0,1,15,4
ENSG00000001629.10,ANKIB1,protein_coding,chr7,3324,2387,1841,2595,3631,3189,2452
ENSG00000001630.18,CYP51A1,protein_coding,chr7,198,215,196,288,269,172,259
ENSG00000001631.17,KRIT1,protein_coding,chr7,161,200,230,202,184,165,154
ENSG00000002016.18,RAD52,protein_coding,chr12,224,268,244,202,215,73,123
